epoch,core,seed,false_flag
47,equiformer_v2,1,0.9345
48,equiformer_v2,1,0.9345
49,equiformer_v2,1,0.941
50,equiformer_v2,1,0.936
51,equiformer_v2,1,0.9365
52,equiformer_v2,1,0.9295
53,equiformer_v2,1,0.9265
54,equiformer_v2,1,0.9335
55,equiformer_v2,1,0.9295
56,equiformer_v2,1,0.9355
57,equiformer_v2,1,0.931
58,equiformer_v2,1,0.936
59,equiformer_v2,1,0.9305
60,equiformer_v2,1,0.9375
61,equiformer_v2,1,0.9285
62,equiformer_v2,1,0.9365
63,equiformer_v2,1,0.9385
64,equiformer_v2,1,0.9335
65,equiformer_v2,1,0.939
66,equiformer_v2,1,0.9375
67,equiformer_v2,1,0.9465
68,equiformer_v2,1,0.9415
69,equiformer_v2,1,0.934
70,equiformer_v2,1,0.938
71,equiformer_v2,1,0.934
72,equiformer_v2,1,0.9335
73,equiformer_v2,1,0.9435
74,equiformer_v2,1,0.9405
75,equiformer_v2,1,0.942
76,equiformer_v2,1,0.9405
77,equiformer_v2,1,0.942
78,equiformer_v2,1,0.9465
79,equiformer_v2,1,0.9455
80,equiformer_v2,1,0.946
81,equiformer_v2,1,0.9485
82,equiformer_v2,1,0.9485
83,equiformer_v2,1,0.948
84,equiformer_v2,1,0.9445
85,equiformer_v2,1,0.9485
86,equiformer_v2,1,0.9465
87,equiformer_v2,1,0.9445
88,equiformer_v2,1,0.945
89,equiformer_v2,1,0.949
90,equiformer_v2,1,0.948
91,equiformer_v2,1,0.9495
92,equiformer_v2,1,0.9505
93,equiformer_v2,1,0.9495
94,equiformer_v2,1,0.948
95,equiformer_v2,1,0.9475
96,equiformer_v2,1,0.9505
97,equiformer_v2,1,0.945
98,equiformer_v2,1,0.9465
99,equiformer_v2,1,0.949
100,equiformer_v2,1,0.951
101,equiformer_v2,1,0.949
102,equiformer_v2,1,0.9435
103,equiformer_v2,1,0.946
104,equiformer_v2,1,0.9475
105,equiformer_v2,1,0.948
106,equiformer_v2,1,0.948
107,equiformer_v2,1,0.951
108,equiformer_v2,1,0.9475
109,equiformer_v2,1,0.948
110,equiformer_v2,1,0.945
111,equiformer_v2,1,0.948
112,equiformer_v2,1,0.95
113,equiformer_v2,1,0.946
114,equiformer_v2,1,0.9445
115,equiformer_v2,1,0.9475
116,equiformer_v2,1,0.947
117,equiformer_v2,1,0.9475
118,equiformer_v2,1,0.9495
119,equiformer_v2,1,0.9515
120,equiformer_v2,1,0.9495
121,equiformer_v2,1,0.9535
122,equiformer_v2,1,0.9515
123,equiformer_v2,1,0.9485
124,equiformer_v2,1,0.947
125,equiformer_v2,1,0.9545
126,equiformer_v2,1,0.952
127,equiformer_v2,1,0.9465
128,equiformer_v2,1,0.9435
129,equiformer_v2,1,0.944
130,equiformer_v2,1,0.944
131,equiformer_v2,1,0.9455
132,equiformer_v2,1,0.9435
133,equiformer_v2,1,0.9475
134,equiformer_v2,1,0.946
135,equiformer_v2,1,0.9525
136,equiformer_v2,1,0.946
137,equiformer_v2,1,0.947
138,equiformer_v2,1,0.946
139,equiformer_v2,1,0.9435
140,equiformer_v2,1,0.952
141,equiformer_v2,1,0.9505
142,equiformer_v2,1,0.9485
143,equiformer_v2,1,0.9495
144,equiformer_v2,1,0.95
145,equiformer_v2,1,0.949
146,equiformer_v2,1,0.951
147,equiformer_v2,1,0.9485
148,equiformer_v2,1,0.9505
149,equiformer_v2,1,0.951
150,equiformer_v2,1,0.9485
1,equiformer_v2,2,0.8095
